lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,subsampleClass,CH4_uM,CO2_uM,year,doy
EL,DeepHole,5/14/14,5/14/14 11:07,point,8,8,DIC,0.017178116,248.7843903,2014,134
EL,DeepHole,5/14/14,5/14/14 11:07,point,8,8,DIC,0.034656436,23.45235134,2014,134
WL,DeepHole,5/14/14,5/14/14 9:25,point,8,8,DIC,0.030211805,351.003192,2014,134
WL,DeepHole,5/14/14,5/14/14 9:25,point,8,8,DIC,0.029186226,293.4477186,2014,134
MO,DeepHole,5/15/14,5/15/14 8:45,point,5,5,DIC,101.3077129,1837.575937,2014,135
MO,DeepHole,5/15/14,5/15/14 8:45,point,5,5,DIC,101.1847327,1861.525104,2014,135
CR,DeepHole,5/16/14,5/16/14 8:55,point,10,10,DIC,0.07851431,219.5084272,2014,136
CR,DeepHole,5/16/14,5/16/14 8:55,point,10,10,DIC,0.061215957,219.3641286,2014,136
HB,DeepHole,5/16/14,5/16/14 10:25,point,5,5,DIC,134.33682,849.0086851,2014,136
HB,DeepHole,5/16/14,5/16/14 10:25,point,5,5,DIC,119.8683925,758.0031099,2014,136
EL,DeepHole,5/20/15,5/20/15 10:45,point,8,8,DIC,0.072943225,406.0661878,2015,140
EL,DeepHole,5/20/15,5/20/15 10:45,point,8,8,DIC,0.07601952,443.5684925,2015,140
WL,DeepHole,5/20/15,5/20/15 9:15,point,8,8,DIC,0.438677855,428.0502974,2015,140
WL,DeepHole,5/20/15,5/20/15 9:15,point,8,8,DIC,0.318016428,297.8257932,2015,140
HB,DeepHole,5/21/15,5/21/15 10:30,point,5,5,DIC,61.37415883,649.9569616,2015,141
HB,DeepHole,5/21/15,5/21/15 10:30,point,5,5,DIC,76.3451407,788.6737068,2015,141
MO,DeepHole,5/22/15,5/22/15 9:00,point,5,5,DIC,0.978252658,1056.532992,2015,142
MO,DeepHole,5/22/15,5/22/15 9:00,point,5,5,DIC,0.886278415,1043.811399,2015,142
HB,DeepHole,5/26/14,5/26/14 11:20,point,5,5,DIC,159.7229533,898.8241448,2014,146
HB,DeepHole,5/26/14,5/26/14 11:20,point,5,5,DIC,156.2648571,888.1170085,2014,146
CR,DeepHole,5/27/14,5/27/14 11:35,point,10,10,DIC,0.042015532,238.3221245,2014,147
CR,DeepHole,5/27/14,5/27/14 11:35,point,10,10,DIC,0.046607415,245.5145245,2014,147
MO,DeepHole,5/27/14,5/27/14 9:15,point,5,5,DIC,147.1444715,2174.848003,2014,147
MO,DeepHole,5/27/14,5/27/14 9:15,point,5,5,DIC,139.6834332,2062.811157,2014,147
EL,DeepHole,5/27/15,5/27/15 10:30,point,8,8,DIC,3.743292575,441.8678682,2015,147
EL,DeepHole,5/27/15,5/27/15 10:30,point,8,8,DIC,3.348761234,444.5043705,2015,147
WL,DeepHole,5/27/15,5/27/15 9:00,point,8,8,DIC,10.25193978,535.7310615,2015,147
WL,DeepHole,5/27/15,5/27/15 9:00,point,8,8,DIC,10.3260544,521.9581433,2015,147
EL,DeepHole,5/28/14,5/28/14 10:20,point,8,8,DIC,0.075557625,645.2215987,2014,148
WL,DeepHole,5/28/14,5/28/14 9:05,point,8,8,DIC,22.80749674,614.6448178,2014,148
WL,DeepHole,5/28/14,5/28/14 9:05,point,8,8,DIC,27.34430397,642.7041055,2014,148
CR,DeepHole,6/1/15,6/1/15 9:20,point,10,10,DIC,0.190103007,257.199619,2015,152
CR,DeepHole,6/1/15,6/1/15 9:20,point,10,10,DIC,0.182527787,281.6836785,2015,152
HB,DeepHole,6/2/15,6/2/15 9:30,point,5,5,DIC,65.94431199,605.6403115,2015,153
